date,time,localCurrentTemperature (°C),localCurrentApparentTemperature (°C),LocalForecastedTemperature_3 (°C),LocalForecastedApparentTemperature_3 (°C),LocalForecastedTemperature_6 (°C),LocalForecastedApparentTemperature_6 (°C),localCurrentHumidity (%),LocalForecastedHumidity_3 (%),LocalForecastedHumidity_6 (%),LocalCurrent_Cloudiness (%),LocalForecastedCloudiness_3 (%),LocalForecastedCloudiness_6 (%),localCurrentUVIndex,LocalCurrent_Rain (mm),LocalForecastedRain_3 (mm),LocalForecastedRain_6 (mm),LocalCurrent_Snow (mm),LocalForecastedSnow_3 (mm),LocalForecastedSnow_6 (mm),SensorTemperature (°C),SensorRelativeHumidity (%),SensorUltraviolet,SensorLuminance (Lux),MotionAlarm,TamperAlarm,WallPlugSwitch1_Switch_1,WallPlugSwitch1_SensorPower_1 (W),Multisensor_outside_SensorTemperature (°C),Multisensor_outside_SensorRelativeHumidity (%),Multisensor_outside_SensorUltraviolet,Multisensor_outside_SensorLuminance(Lux),Multisensor_outside_TamperAlarm,Multisensor_outside_MotionAlarm,sensor1_temperature (°C),sensor2_temperature (°C),sensor3_temperature (°C),sensor4_temperature (°C),sensor5_temperature (°C),sensor1_humidity (%),sensor2_humidity (%),sensor3_humidity (%),sensor4_humidity (%),sensor5_humidity (%),Enocean_Temperature_1 (°C),Enocean_Humidity_1 (%),Brightness_sensor_temperature_1 (°C),Brightness_Sensor_Temperature_2 (°C),Brightness_Sensor_Ambient_Brightness_1,Brightness_Sensor_Ambient_Brightness_2,Brightness_Sensor_Motion_detection_1,Brightness_Sensor_Motion_detection_2,Brightness_Sensor_Battery_1 (%),Brightness_Sensor_Battery_2 (%),Socket_Energy_1(W h),Socket_Energy_2 (W h),Socket_Power_1 (W),Socket_Power_2 (W),Socket_Switch_1,Socket_Switch_2,Socket_Energy_3 (W h),Socket_Energy_4 (W h),Socket_Power_3 (W),Socket_Power_4 (W),Socket_Switch_3,Socket_Switch_4,Luminance_Sensor_Luminance_1 (Lux),Luminance_Sensor_Luminance_2 (Lux),Luminance_Sensor_Battery_1 (%),Luminance_Sensor_Battery_2 (%),Rain_Sensor_Precipitation_1 (mm),Rain_Sensor_Water_Meter_1 (m³),Rain_Sensor_Battery_1 (%),AIR_Quality_Sensor_CO2_2 (ppm),AIR_Quality_Sensor_Dew_point_2(°C),AIR_Quality_Sensor_Humidity_2 (%),AIR_Quality_Sensor_Temperature_2 (°C),AIR_Quality_Sensor_VOC_2 (ppm),AirQualitySensor_SensorTemperature (°C),AirQualitySensor_SensorRelativeHumidity (%),AirQualitySensor_SensorVOLATILE_ORGANIC_COMPOUND (ppm),AirQualitySensor_SensorDewPoint (°C) ,AirQualitySensor_SensorCO2 (ppm),Weather_Station_Air_Pressure_1 (mBar) ,Weather_Station_Dew_Point_1 (°C),Weather_Station_Electricity_meter_1 (W),Weather_Station_Heat_meter_1,Weather_Station_Humidity_1 (%),Weather_Station_Luminance_1 (Lux),Weather_Station_Temperature_1 (°C),Weather_Station_Wind_Speed_1 (m/s),Rain_Sensor_Precipitation_2 (mm),Rain_Sensor_Water_Meter_2 (m³),Rain_Sensor_Battery_2 (%),Temperature_25 (°C),Temperature_26 (°C),Temperature_27 (°C),Weather_Station_Air_Pressure_2 (mBar),Weather_Station_Dew_Point_2 (°C),Weather_Station_Electricity_meter_2 (W),Weather_Station_Heat_meter_2,Weather_Station_Humidity_2 (%),Weather_Station_Luminance_2 (Lux),Weather_Station_Temperature_2 (°C),Weather_Station_Wind_Speed_2 (m/s),wind_sensor_power (W),wind_sensor_energy (W h),Window_opening_power (W),Window_opening_energy (W h),Slats_angle_power (W),Slats_angle_energy (W h),Window_blinds_power (W),Window_blinds_energy (W h),Weather_Station_Air_Pressure_3 (mBar),Weather_Station_Dew_Point_3 (°C),Weather_Station_Electricity_meter_3 (W),Weather_Station_Heat_meter_3,Weather_Station_Humidity_3 (%),Weather_Station_Luminance_3 (Lux),Weather_Station_Temperature_3 (°C),Weather_Station_Wind_Speed_3 (m/s),AIR_Quality_Sensor_CO2_3 (ppm),AIR_Quality_Sensor_Dew_point_3 (°C),AIR_Quality_Sensor_Humidity_3 (%),AIR_Quality_Sensor_Temperature_3 (°C),AIR_Quality_Sensor_VOC_3 (ppm),AIR_Quality_Sensor_CO2_4 (ppm),AIR_Quality_Sensor_Dew_point_4 (°C),AIR_Quality_Sensor_Humidity_4 (%),AIR_Quality_Sensor_Temperature_4 (°C),AIR_Quality_Sensor_VOC_4 (ppm),AIR_Quality_Sensor_CO2_5 (ppm),AIR_Quality_Sensor_Dew_point_5 (°C),AIR_Quality_Sensor_Humidity_5 (%),AIR_Quality_Sensor_Temperature_5 (°C),AIR_Quality_Sensor_VOC_5 (ppm)
2021-09-29,00:10:34,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.9,49,0,0,OFF,OFF,ON,0,14.4,87,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.278,13.3,79,0.194,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,9.8,88,11.6,0.155,406,10.8,93,11.8,0.174,400,9.9,76,14.1,0.121
2021-09-29,00:11:04,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.9,49,0,0,OFF,OFF,ON,0,14.5,87,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.278,13.3,79,0.194,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,9.8,88,11.6,0.155,406,10.8,93,11.8,0.174,400,9.9,76,14.1,0.121
2021-09-29,00:11:34,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.9,49,0,0,OFF,OFF,ON,0,14.4,87,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.278,13.3,79,0.194,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,9.8,88,11.6,0.155,406,10.8,93,11.8,0.174,400,9.9,76,14.1,0.121
2021-09-29,00:12:04,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.9,49,0,0,OFF,OFF,ON,0,14.4,87,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.278,13.3,79,0.194,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,9.8,88,11.6,0.155,406,10.8,93,11.8,0.174,400,9.9,76,14.1,0.121
2021-09-29,00:12:34,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.8,49,0,0,OFF,OFF,ON,0,14.4,87,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.278,13.3,79,0.194,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,9.8,88,11.6,0.155,406,10.8,93,11.8,0.174,400,9.9,76,14.1,0.121
2021-09-29,00:13:05,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.8,49,0,0,OFF,OFF,ON,0,14.4,87,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.278,13.3,79,0.194,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,9.8,88,11.6,0.155,406,10.8,93,11.8,0.174,400,9.9,76,14.1,0.121
2021-09-29,00:13:35,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.9,49,0,0,OFF,OFF,ON,0,14.4,88,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.278,13.3,79,0.194,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,9.8,88,11.6,0.155,406,10.8,93,11.8,0.174,400,9.9,76,14.1,0.121
2021-09-29,00:14:05,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.9,49,0,0,OFF,OFF,ON,0,14.4,88,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.278,13.3,79,0.194,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,9.8,88,11.6,0.155,406,10.8,93,11.8,0.174,400,9.9,76,14.1,0.121
2021-09-29,00:14:35,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.8,49,0,0,OFF,OFF,ON,0,14.5,87,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.278,13.3,79,0.194,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,9.8,88,11.6,0.155,406,10.8,93,11.8,0.174,400,9.9,76,14.1,0.121
2021-09-29,00:15:05,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.8,49,0,0,OFF,OFF,ON,0,14.5,87,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.922,13.3,79,0.922,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,9.8,88,11.6,0.922,406,10.8,93,11.8,0.922,400,9.9,76,14.1,0.121
2021-09-29,00:15:35,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.9,49,0,0,OFF,OFF,ON,0,14.5,87,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.922,13.3,79,0.922,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,9.8,88,11.6,0.922,406,10.8,93,11.8,0.922,400,9.9,76,14.1,0.922
2021-09-29,00:16:05,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.9,49,0,0,OFF,OFF,ON,0,14.5,87,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.922,13.3,79,0.922,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,9.8,88,11.6,0.922,406,10.8,93,11.8,0.922,400,9.9,76,14.1,0.922
2021-09-29,00:16:35,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.8,49,0,0,OFF,OFF,ON,0,14.4,88,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.922,13.3,79,0.922,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,9.8,88,11.6,0.922,406,10.8,93,11.8,0.922,400,9.9,76,14.1,0.922
2021-09-29,00:17:05,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.8,49,0,0,OFF,OFF,ON,0,14.4,88,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.922,13.3,79,0.922,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,9.8,88,11.6,0.922,406,10.8,93,11.8,0.922,400,9.9,76,14.1,0.922
2021-09-29,00:17:35,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.9,49,0,0,OFF,OFF,ON,0,14.4,87,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.922,13.3,79,0.922,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,9.8,88,11.6,0.922,406,10.8,93,11.8,0.922,400,9.9,76,14.1,0.922
2021-09-29,00:18:05,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.9,49,0,0,OFF,OFF,ON,0,14.4,88,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.922,13.3,79,0.922,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,9.8,88,11.6,0.922,406,10.8,93,11.8,0.922,400,9.9,76,14.1,0.922
2021-09-29,00:18:35,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.9,49,0,0,OFF,OFF,ON,0,14.5,87,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.922,13.3,79,0.922,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,9.8,88,11.6,0.922,406,10.8,93,11.8,0.922,400,9.9,76,14.1,0.922
2021-09-29,00:19:05,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.9,49,0,0,OFF,OFF,ON,0,14.5,88,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.922,13.3,79,0.922,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,9.8,88,11.6,0.922,406,10.8,93,11.8,0.922,400,9.9,76,14.1,0.922
2021-09-29,00:19:35,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.9,49,0,0,OFF,OFF,ON,0,14.4,88,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.922,13.3,79,0.922,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,9.8,88,11.6,0.922,406,10.8,93,11.8,0.922,400,9.9,76,14.1,0.922
2021-09-29,00:20:05,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.9,49,0,0,OFF,OFF,ON,0,14.4,88,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.922,13.3,79,0.922,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,9.8,88,11.6,0.922,406,10.8,93,11.8,0.922,400,9.9,76,14.1,0.922
2021-09-29,00:20:35,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.8,49,0,0,OFF,OFF,ON,0,14.4,88,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.922,13.3,79,0.922,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,10,88,11.8,0.167,406,10.8,93,11.8,0.922,400,9.9,76,14.1,0.922
2021-09-29,00:21:05,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.8,49,0,0,OFF,OFF,ON,0,14.4,88,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.922,13.3,79,0.922,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,10,88,11.8,0.167,403,11,94,12,0.178,400,10,75,14.3,0.125
2021-09-29,00:21:35,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.9,49,0,0,OFF,OFF,ON,0,14.4,88,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,93,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.922,13.3,79,0.922,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,10,88,11.8,0.167,403,11,94,12,0.178,400,10,75,14.3,0.125
2021-09-29,00:22:05,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.9,49,0,0,OFF,OFF,ON,0,14.4,88,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,92,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.922,13.3,79,0.922,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,10,88,11.8,0.167,403,11,94,12,0.178,400,10,75,14.3,0.125
2021-09-29,00:22:35,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.8,49,0,0,OFF,OFF,ON,0,14.4,88,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,92,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.922,13.3,79,0.922,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,10,88,11.8,0.167,403,11,94,12,0.178,400,10,75,14.3,0.125
2021-09-29,00:23:05,10.47,9.97,10.11,9.63,10.75,10.36,92,94,95,100,100,100,3.14,0.0,0.0,0.13,0.0,0.0,0.0,23.8,49,0,0,OFF,OFF,ON,0,14.3,88,0,0,OFF,OFF,29.4,29.5,10.45,29.4,10.89,9.0,6.0,100,38.0,92.14,10,92,13.5,13.5,3,3,OFF,OFF,100,100,7.038,1.268,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,0,0,100,100,0,0.156,70,400,10.2,83,13.1,0.922,13.3,79,0.922,9.7,401,96.2,9.2,79.6115,501211,95,0,10.1,4,0,0.527,71,14.07,22.82,14.88,96.2,12.6,1.22091,0,74,37,15.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.2,8.1,24.14294,16459,91,0,9.5,2,400,10,88,11.8,0.167,403,11,94,12,0.178,400,10,75,14.3,0.125
